presFesto-0[V]	DigOut-1[V]	MPX100-2[V]	HAF075#2-9[V]
5.003	4.899	0.257	2.493
5.003	4.899	0.259	2.494
5.005	4.899	0.256	2.494
5.005	4.899	0.256	2.494
5.002	4.899	0.257	2.495
5.007	4.899	0.260	2.496
5.006	4.899	0.258	2.495
5.004	4.899	0.259	2.494
5.002	4.899	0.259	2.494
5.004	4.900	0.257	2.495
5.004	4.899	0.257	2.495
5.003	4.899	0.255	2.494
5.005	4.899	0.259	2.494
5.004	4.899	0.256	2.495
5.004	4.899	0.256	2.494
5.003	4.899	0.257	2.493
5.004	4.899	0.259	2.496
5.003	4.899	0.257	2.494
5.004	4.899	0.258	2.495
5.004	4.899	0.257	2.494
5.003	4.899	0.259	2.494
5.005	4.899	0.259	2.497
5.006	4.899	0.257	2.496
5.001	4.899	0.257	2.494
5.004	4.899	0.259	2.494
5.005	4.899	0.258	2.497
5.004	4.899	0.257	2.497
5.002	4.899	0.258	2.495
5.002	4.899	0.259	2.495
5.006	4.899	0.258	2.495
5.004	4.899	0.257	2.497
5.002	4.899	0.259	2.497
5.006	4.899	0.257	2.496
5.005	4.899	0.259	2.496
5.003	4.899	0.257	2.498
5.005	4.900	0.257	2.497
5.005	4.899	0.256	2.495
5.007	4.900	0.255	2.494
5.006	4.899	0.256	2.495
5.003	4.899	0.259	2.495
5.002	4.899	0.256	2.495
5.006	4.899	0.256	2.495
5.005	4.899	0.256	2.493
5.006	4.899	0.258	2.494
5.004	4.899	0.259	2.496
5.003	4.899	0.257	2.495
5.005	4.899	0.257	2.494
5.005	4.899	0.259	2.496
5.004	4.899	0.257	2.495
5.003	4.899	0.257	2.495
5.004	4.899	0.257	2.497
5.003	4.899	0.258	2.497
5.005	4.899	0.259	2.493
5.003	4.899	0.259	2.495
5.006	4.899	0.257	2.495
5.005	4.899	0.258	2.494
5.006	4.899	0.258	2.495
5.006	4.899	0.256	2.496
5.001	4.898	0.256	2.495
5.004	4.899	0.256	2.495
5.003	4.899	0.259	2.495
5.003	4.900	0.257	2.493
5.004	4.899	0.256	2.494
5.005	4.899	0.260	2.495
5.004	4.899	0.257	2.494
5.003	4.898	0.257	2.495
5.003	4.899	0.256	2.496
5.004	4.899	0.258	2.496
5.004	4.899	0.257	2.493
5.005	4.899	0.257	2.494
5.003	4.900	0.257	2.495
5.006	4.899	0.258	2.494
5.004	4.899	0.259	2.495
5.003	4.900	0.258	2.495
5.003	4.899	0.258	2.496
5.006	4.900	0.259	2.497
5.003	4.899	0.257	2.496
5.002	4.899	0.258	2.496
5.004	4.899	0.257	2.497
5.005	4.899	0.259	2.497
5.004	4.899	0.257	2.496
5.003	4.899	0.259	2.496
5.001	4.899	0.255	2.495
5.005	4.899	0.257	2.497
5.002	4.899	0.259	2.497
5.004	4.899	0.258	2.495
5.005	4.899	0.259	2.497
5.004	4.899	0.256	2.497
5.004	4.899	0.259	2.497
5.005	4.899	0.258	2.495
5.004	4.899	0.258	2.496
5.005	4.899	0.260	2.498
5.005	4.899	0.259	2.496
5.004	4.899	0.259	2.497
5.004	4.899	0.258	2.497
5.004	4.899	0.256	2.495
5.004	4.899	0.257	2.497
5.006	4.899	0.257	2.496
5.003	4.900	0.258	2.497
5.003	4.899	0.259	2.497
5.005	4.899	0.257	2.495
5.006	4.899	0.256	2.497
5.004	4.899	0.258	2.496
5.002	4.899	0.259	2.497
5.003	4.899	0.257	2.498
5.005	4.899	0.258	2.496
5.004	4.899	0.259	2.497
5.005	4.900	0.258	2.495
5.004	4.899	0.258	2.496
5.002	4.899	0.258	2.496
5.003	4.899	0.257	2.495
5.003	4.899	0.259	2.496
5.005	4.899	0.257	2.496
5.003	4.900	0.258	2.496
5.000	4.899	0.258	2.498
5.005	4.899	0.258	2.496
5.004	4.899	0.256	2.497
5.004	4.899	0.258	2.495
5.002	4.899	0.258	2.497
5.005	4.899	0.258	2.497
5.003	4.899	0.256	2.496
5.003	4.899	0.259	2.496
5.004	4.899	0.259	2.495
5.005	4.899	0.257	2.497
5.005	4.899	0.257	2.495
5.005	4.899	0.257	2.495
5.006	4.899	0.255	2.495
5.004	4.899	0.258	2.494
5.004	4.899	0.257	2.497
5.003	4.900	0.257	2.497
5.004	4.899	0.258	2.497
5.005	4.899	0.258	2.496
5.004	4.899	0.257	2.497
5.003	4.899	0.259	2.498
5.004	4.900	0.256	2.497
5.005	4.899	0.258	2.497
5.004	4.899	0.257	2.495
5.004	4.899	0.259	2.496
5.005	4.899	0.257	2.496
5.007	4.899	0.257	2.497
5.003	4.899	0.258	2.499
5.002	4.899	0.258	2.497
5.001	4.899	0.259	2.497
5.004	4.899	0.257	2.497
5.002	4.899	0.255	2.497
5.003	4.899	0.258	2.498
5.007	4.899	0.257	2.497
5.004	4.899	0.258	2.496
5.004	4.899	0.257	2.496
5.004	4.899	0.259	2.495
5.005	4.900	0.258	2.495
5.003	4.899	0.259	2.497
5.004	4.899	0.258	2.495
5.004	4.899	0.256	2.498
5.003	4.899	0.259	2.496
5.006	4.899	0.258	2.496
5.004	4.899	0.258	2.497
5.003	4.899	0.258	2.498
5.005	4.900	0.257	2.498
5.006	4.899	0.257	2.497
5.003	4.899	0.257	2.497
5.006	4.899	0.258	2.496
5.004	4.899	0.260	2.495
5.004	4.899	0.260	2.497
5.004	4.899	0.257	2.495
5.007	4.899	0.257	2.495
5.007	4.899	0.257	2.496
5.004	4.899	0.258	2.496
5.002	4.899	0.256	2.496
5.004	4.900	0.257	2.497
5.005	4.899	0.257	2.496
5.002	4.898	0.257	2.495
5.003	4.899	0.257	2.496
5.002	4.899	0.257	2.496
5.003	4.899	0.259	2.496
5.004	4.899	0.258	2.497
5.004	4.899	0.258	2.496
5.004	4.899	0.257	2.495
5.005	4.901	0.260	2.496
5.002	4.899	0.256	2.494
5.001	4.899	0.257	2.495
5.006	4.899	0.257	2.496
5.006	4.899	0.258	2.495
5.005	4.899	0.256	2.495
5.004	4.899	0.261	2.497
5.006	4.899	0.258	2.495
5.003	4.899	0.258	2.494
5.007	4.899	0.258	2.494
5.005	4.899	0.257	2.494
5.003	4.899	0.259	2.494
5.003	4.899	0.258	2.496
5.004	4.899	0.258	2.495
5.005	4.899	0.256	2.496
5.006	4.899	0.257	2.496
5.004	4.899	0.257	2.497
5.006	4.899	0.257	2.496
5.003	4.899	0.260	2.495
5.006	4.899	0.260	2.495
5.004	4.899	0.257	2.497
5.004	4.899	0.257	2.495
5.003	4.899	0.259	2.495
5.004	4.899	0.256	2.496
5.003	4.899	0.257	2.496
5.005	4.899	0.258	2.496
5.005	4.899	0.257	2.494
5.004	4.899	0.256	2.492
5.003	4.899	0.258	2.495
5.007	4.899	0.257	2.495
5.006	4.899	0.257	2.495
5.004	4.899	0.256	2.496
5.002	4.899	0.259	2.496
5.004	4.900	0.258	2.495
5.003	4.899	0.257	2.496
5.007	4.899	0.256	2.495
5.006	4.899	0.258	2.495
5.005	4.899	0.257	2.497
5.003	4.898	0.256	2.496
5.002	4.899	0.258	2.496
5.005	4.899	0.257	2.495
5.004	4.900	0.257	2.496
5.006	4.899	0.258	2.494
5.005	4.899	0.257	2.496
5.003	4.899	0.259	2.495
5.006	4.899	0.257	2.495
5.004	4.900	0.259	2.495
5.004	4.899	0.260	2.495
5.003	4.898	0.259	2.494
5.002	4.900	0.257	2.494
5.003	4.899	0.259	2.496
5.006	4.899	0.257	2.495
5.002	4.899	0.258	2.495
5.003	4.900	0.258	2.496
5.001	4.899	0.259	2.495
5.005	4.899	0.256	2.496
5.002	4.900	0.260	2.496
5.004	4.899	0.256	2.496
5.004	4.899	0.256	2.497
5.003	4.899	0.257	2.496
5.001	4.900	0.258	2.497
5.005	4.900	0.256	2.494
5.002	4.899	0.257	2.496
5.004	4.899	0.260	2.497
5.002	4.899	0.258	2.497
5.002	4.900	0.258	2.497
5.004	4.899	0.257	2.495
5.006	4.900	0.257	2.497
5.003	4.898	0.259	2.495
5.004	4.899	0.260	2.496
5.005	4.900	0.255	2.496
5.003	4.899	0.260	2.496
5.002	4.899	0.254	2.496
5.004	4.899	0.257	2.495
5.004	4.898	0.257	2.495
5.000	4.899	0.259	2.496
5.001	4.900	0.260	2.496
5.002	4.899	0.258	2.493
5.003	4.899	0.256	2.496
5.003	4.899	0.257	2.497
5.004	4.899	0.257	2.497
5.004	4.899	0.259	2.496
5.003	4.899	0.258	2.497
5.006	4.899	0.259	2.496
5.006	4.900	0.259	2.496
5.004	4.899	0.257	2.494
5.006	4.899	0.260	2.496
5.004	4.899	0.258	2.496
5.003	4.899	0.258	2.496
5.006	4.899	0.257	2.497
5.001	4.899	0.257	2.497
5.006	4.899	0.257	2.496
5.004	4.899	0.258	2.497
5.004	4.899	0.258	2.496
5.006	4.900	0.255	2.494
5.005	4.899	0.257	2.495
5.003	4.899	0.260	2.497
5.008	4.900	0.260	2.497
5.004	4.899	0.259	2.498
5.006	4.899	0.258	2.496
5.004	4.899	0.258	2.497
5.005	4.899	0.257	2.497
5.004	4.899	0.259	2.496
5.004	4.899	0.259	2.497
5.003	4.899	0.257	2.497
5.003	4.899	0.258	2.496
5.002	4.899	0.258	2.495
5.005	4.898	0.258	2.494
5.004	4.899	0.257	2.496
5.004	4.899	0.259	2.496
5.005	4.899	0.258	2.498
5.006	4.899	0.258	2.497
5.003	4.900	0.256	2.496
5.004	4.899	0.258	2.494
5.004	4.900	0.257	2.495
5.006	4.899	0.258	2.496
5.004	4.900	0.258	2.496
5.005	4.899	0.258	2.496
5.003	4.899	0.257	2.496
5.002	4.899	0.258	2.495
5.004	4.899	0.257	2.496
5.003	4.899	0.258	2.497
5.004	4.900	0.257	2.495
5.003	4.899	0.255	2.497
5.002	4.900	0.257	2.496
5.002	4.899	0.255	2.496
5.006	4.899	0.258	2.496
5.002	4.899	0.257	2.495
5.003	4.899	0.258	2.495
5.004	4.900	0.257	2.496
5.003	4.899	0.256	2.495
5.004	4.899	0.257	2.495
5.005	4.900	0.257	2.495
5.005	4.899	0.259	2.497
5.006	4.899	0.259	2.496
5.003	4.899	0.257	2.495
5.006	4.899	0.259	2.498
5.004	4.899	0.257	2.496
5.004	4.899	0.257	2.496
5.005	4.899	0.258	2.496
5.003	4.899	0.259	2.497
5.006	4.899	0.256	2.495
5.006	4.899	0.258	2.495
5.004	4.899	0.258	2.497
5.002	4.899	0.258	2.498
5.003	4.899	0.258	2.496
5.004	4.899	0.258	2.497
5.004	4.899	0.259	2.499
5.005	4.898	0.258	2.498
5.003	4.899	0.258	2.497
5.002	4.899	0.259	2.498
5.002	4.899	0.258	2.497
5.002	4.899	0.257	2.497
5.005	4.899	0.258	2.498
5.005	4.899	0.259	2.498
5.005	4.899	0.259	2.498
5.001	4.899	0.257	2.498
5.005	4.899	0.258	2.495
5.003	4.899	0.257	2.495
5.004	4.899	0.257	2.496
5.004	4.899	0.258	2.495
5.003	4.899	0.258	2.496
5.003	4.899	0.257	2.495
5.004	4.898	0.260	2.496
5.004	4.899	0.258	2.495
5.003	4.899	0.258	2.497
5.002	4.899	0.257	2.498
5.002	4.899	0.257	2.496
5.002	4.899	0.258	2.496
5.003	4.899	0.259	2.497
5.004	4.899	0.258	2.497
5.005	4.899	0.258	2.496
5.005	4.899	0.258	2.494
5.005	4.899	0.259	2.498
5.005	4.900	0.257	2.495
5.005	4.899	0.257	2.495
5.004	4.898	0.257	2.495
5.005	4.899	0.260	2.495
5.006	4.899	0.256	2.495
5.006	4.900	0.258	2.498
5.004	4.898	0.258	2.497
5.003	4.899	0.257	2.496
5.003	4.899	0.258	2.498
5.003	4.899	0.258	2.498
5.005	4.899	0.259	2.497
5.003	4.899	0.259	2.497
5.004	4.899	0.256	2.498
5.004	4.899	0.258	2.495
5.003	4.899	0.259	2.496
5.003	4.899	0.256	2.497
5.005	4.899	0.257	2.496
5.006	4.899	0.258	2.497
5.004	4.899	0.259	2.496
5.005	4.900	0.259	2.496
5.005	4.899	0.257	2.497
5.007	4.899	0.259	2.495
5.008	4.899	0.260	2.497
5.007	4.899	0.259	2.495
5.002	4.898	0.257	2.497
5.002	4.900	0.256	2.496
5.005	4.899	0.256	2.496
5.005	4.900	0.260	2.495
5.003	4.900	0.258	2.494
5.003	4.899	0.257	2.492
5.002	4.899	0.260	2.495
5.005	4.898	0.259	2.496
5.003	4.899	0.258	2.496
5.004	4.899	0.257	2.495
5.003	4.899	0.258	2.495
5.004	4.899	0.258	2.496
5.002	4.900	0.259	2.497
5.002	4.899	0.259	2.496
5.003	4.899	0.257	2.495
5.003	4.899	0.259	2.496
5.004	4.899	0.258	2.496
5.003	4.899	0.258	2.496
5.003	4.899	0.259	2.497
5.001	4.899	0.257	2.497
5.004	4.899	0.259	2.493
5.004	4.899	0.258	2.493
5.003	4.899	0.258	2.497
5.005	4.899	0.259	2.494
5.006	4.899	0.255	2.496
5.005	4.899	0.258	2.495
5.005	4.899	0.258	2.496
5.001	4.899	0.258	2.497
5.003	4.899	0.258	2.495
5.004	4.899	0.259	2.495
5.005	4.900	0.259	2.496
5.002	4.899	0.257	2.496
5.003	4.899	0.257	2.495
5.003	4.899	0.258	2.497
5.005	4.901	0.261	2.497
5.005	4.897	0.258	2.497
5.004	4.899	0.259	2.496
5.003	4.899	0.258	2.496
5.004	4.899	0.258	2.498
5.004	4.899	0.258	2.497
5.007	4.899	0.261	2.496
5.003	4.899	0.259	2.497
5.004	4.899	0.256	2.497
5.002	4.899	0.257	2.496
5.002	4.899	0.257	2.495
5.004	4.899	0.258	2.496
5.004	4.899	0.258	2.497
5.002	4.899	0.259	2.494
5.004	4.900	0.258	2.495
5.003	4.899	0.257	2.495
5.003	4.899	0.258	2.495
5.006	4.899	0.258	2.495
5.004	4.899	0.257	2.496
5.003	4.899	0.258	2.497
5.003	4.899	0.255	2.497
5.004	4.899	0.257	2.496
5.004	4.899	0.259	2.498
5.004	4.899	0.259	2.497
5.002	4.899	0.257	2.495
5.004	4.899	0.258	2.496
5.002	4.899	0.259	2.494
5.002	4.899	0.258	2.495
5.003	4.899	0.258	2.496
5.006	4.899	0.257	2.494
5.006	4.899	0.258	2.495
5.005	4.900	0.258	2.497
5.005	4.899	0.258	2.495
5.005	4.899	0.257	2.496
5.005	4.899	0.259	2.496
5.004	4.899	0.257	2.495
5.003	4.899	0.258	2.495
5.005	4.900	0.258	2.496
5.006	4.899	0.259	2.496
5.003	4.899	0.260	2.495
5.003	4.899	0.256	2.498
5.003	4.899	0.259	2.498
5.005	4.899	0.258	2.496
5.003	4.899	0.259	2.495
5.004	4.898	0.258	2.496
5.003	4.899	0.259	2.497
5.002	4.899	0.257	2.495
5.002	4.899	0.257	2.495
5.003	4.899	0.259	2.494
5.004	4.899	0.258	2.496
5.004	4.899	0.258	2.496
5.004	4.899	0.257	2.496
5.006	4.898	0.259	2.498
5.003	4.899	0.259	2.496
5.002	4.899	0.259	2.499
5.008	4.899	0.256	2.497
5.003	4.899	0.256	2.496
5.003	4.899	0.258	2.497
5.003	4.899	0.257	2.497
5.004	4.899	0.257	2.496
5.003	4.899	0.257	2.497
5.004	4.899	0.259	2.496
5.007	4.899	0.256	2.497
5.000	4.899	0.256	2.497
5.002	4.900	0.259	2.497
5.003	4.899	0.256	2.496
5.002	4.898	0.259	2.496
5.006	4.901	0.255	2.498
5.004	4.899	0.258	2.496
5.003	4.899	0.258	2.496
5.004	4.899	0.256	2.496
5.008	4.899	0.257	2.496
5.004	4.899	0.257	2.497
5.005	4.899	0.257	2.496
5.003	4.899	0.258	2.495
5.006	4.900	0.257	2.497
5.007	4.900	0.258	2.498
5.005	4.899	0.259	2.496
5.006	4.899	0.256	2.497
5.004	4.899	0.258	2.496
5.006	4.899	0.260	2.497
5.004	4.899	0.259	2.499
5.006	4.899	0.260	2.495
5.004	4.899	0.258	2.497
5.005	4.899	0.257	2.498
5.004	4.900	0.258	2.496
5.006	4.899	0.258	2.497
5.004	4.899	0.258	2.498
5.003	4.899	0.259	2.497
5.002	4.899	0.258	2.496
5.006	4.899	0.257	2.499
5.003	4.899	0.258	2.496
5.005	4.899	0.257	2.496
5.003	4.900	0.259	2.498
5.005	4.899	0.261	2.499
5.003	4.899	0.260	2.497
5.001	4.899	0.258	2.496
5.002	4.898	0.257	2.495
5.005	4.898	0.259	2.498
5.004	4.899	0.259	2.497
5.004	4.899	0.259	2.497
5.004	4.899	0.259	2.496
5.004	4.899	0.260	2.495
5.002	4.899	0.259	2.498
5.002	4.899	0.258	2.498
5.003	4.899	0.257	2.498
5.002	4.898	0.258	2.497
5.003	4.899	0.259	2.498
5.002	4.899	0.259	2.498
5.001	4.899	0.257	2.496
5.003	4.899	0.259	2.497
5.003	4.899	0.259	2.496
5.002	4.899	0.258	2.499
5.002	4.899	0.258	2.497
5.005	4.898	0.257	2.497
5.006	4.899	0.258	2.498
5.004	4.899	0.258	2.498
5.001	4.899	0.259	2.498
5.006	4.899	0.260	2.498
5.004	4.899	0.257	2.496
5.006	4.899	0.258	2.497
5.005	4.899	0.257	2.498
5.005	4.899	0.259	2.497
5.004	4.899	0.258	2.498
5.003	4.899	0.259	2.497
5.006	4.899	0.258	2.495
5.003	4.899	0.258	2.497
5.006	4.899	0.257	2.497
5.005	4.899	0.258	2.497
5.003	4.899	0.260	2.498
5.003	4.899	0.260	2.498
5.005	4.899	0.258	2.496
5.004	4.898	0.257	2.498
5.003	4.899	0.256	2.497
5.004	4.899	0.257	2.497
5.002	4.899	0.258	2.497
5.005	4.899	0.258	2.498
5.004	4.899	0.258	2.497
5.002	4.899	0.257	2.499
5.006	4.899	0.260	2.499
5.004	4.899	0.257	2.498
5.005	4.899	0.258	2.498
5.003	4.899	0.257	2.497
5.005	4.899	0.256	2.498
5.002	4.900	0.259	2.497
5.001	4.899	0.260	2.497
5.004	4.899	0.257	2.496
5.003	4.899	0.257	2.496
5.006	4.900	0.257	2.495
5.002	4.899	0.258	2.495
5.003	4.899	0.257	2.497
5.004	4.899	0.258	2.496
5.006	4.899	0.259	2.495
5.004	4.899	0.257	2.496
5.003	4.899	0.257	2.497
5.005	4.899	0.260	2.498
5.007	4.899	0.257	2.497
5.005	4.899	0.258	2.498
5.005	4.899	0.259	2.498
5.003	4.899	0.259	2.498
5.005	4.899	0.260	2.500
5.005	4.899	0.260	2.499
5.008	4.899	0.259	2.499
5.006	4.899	0.258	2.498
5.004	4.899	0.257	2.499
5.006	4.899	0.260	2.498
5.005	4.899	0.259	2.499
5.004	4.899	0.258	2.498
5.004	4.899	0.258	2.497
5.002	4.898	0.258	2.500
5.005	4.899	0.259	2.499
5.004	4.899	0.260	2.497
5.005	4.900	0.258	2.498
5.004	4.899	0.257	2.498
5.004	4.899	0.260	2.498
5.005	4.899	0.257	2.499
5.001	4.900	0.259	2.497
5.004	4.899	0.258	2.497
5.004	4.899	0.259	2.497
5.008	4.899	0.258	2.499
5.004	4.899	0.259	2.497
5.005	4.900	0.259	2.498
5.005	4.899	0.259	2.497
5.005	4.899	0.256	2.498
5.008	4.899	0.257	2.497
5.004	4.898	0.258	2.499
5.006	4.899	0.257	2.498
5.006	4.899	0.257	2.497
5.003	4.899	0.259	2.498
5.006	4.899	0.259	2.496
5.004	4.900	0.258	2.497
5.003	4.899	0.258	2.498
5.003	4.898	0.259	2.499
5.003	4.899	0.258	2.496
5.006	4.899	0.258	2.498
5.003	4.899	0.257	2.498
5.003	4.899	0.258	2.496
5.002	4.899	0.257	2.497
5.003	4.899	0.257	2.497
5.003	4.899	0.260	2.496
5.006	4.899	0.257	2.498
5.004	4.899	0.258	2.497
5.001	4.899	0.257	2.496
5.004	4.898	0.258	2.497
5.004	4.899	0.258	2.497
5.002	4.899	0.259	2.497
5.005	4.899	0.257	2.496
5.003	4.899	0.258	2.497
5.002	4.899	0.259	2.495
5.003	4.899	0.257	2.498
5.007	4.899	0.257	2.497
5.007	4.899	0.259	2.498
5.004	4.898	0.259	2.499
5.004	4.899	0.257	2.499
5.005	4.899	0.259	2.498
5.004	4.899	0.259	2.498
5.003	4.899	0.258	2.498
5.005	4.899	0.259	2.498
5.001	4.899	0.260	2.498
5.003	4.898	0.259	2.499
5.005	4.899	0.259	2.498
5.003	4.899	0.257	2.498
5.005	4.899	0.256	2.499
5.007	4.899	0.259	2.498
5.004	4.899	0.257	2.496
5.003	4.899	0.258	2.496
5.005	4.899	0.258	2.498
5.005	4.898	0.258	2.498
5.004	4.899	0.258	2.498
5.003	4.898	0.257	2.499
5.002	4.899	0.258	2.496
5.005	4.899	0.258	2.497
5.005	4.899	0.258	2.499
5.005	4.899	0.258	2.496
5.004	4.899	0.259	2.497
5.006	4.899	0.259	2.498
5.005	4.899	0.258	2.497
5.003	4.899	0.260	2.496
5.005	4.899	0.259	2.498
5.004	4.899	0.259	2.496
5.005	4.899	0.259	2.498
5.005	4.899	0.259	2.498
5.006	4.900	0.258	2.498
5.006	4.900	0.259	2.498
5.003	4.899	0.258	2.498
5.003	4.899	0.257	2.497
5.003	4.899	0.259	2.498
5.006	4.899	0.259	2.496
5.004	4.899	0.258	2.497
5.004	4.897	0.258	2.498
5.002	4.900	0.258	2.496
5.002	4.899	0.259	2.496
5.006	4.899	0.259	2.497
5.006	4.899	0.258	2.496
5.006	4.899	0.258	2.496
5.001	4.899	0.256	2.496
5.001	4.899	0.256	2.495
5.001	4.899	0.260	2.495
5.002	4.900	0.258	2.496
5.006	4.899	0.258	2.497
5.004	4.899	0.255	2.497
5.005	4.899	0.257	2.497
5.005	4.899	0.258	2.497
5.005	4.898	0.259	2.499
5.006	4.899	0.257	2.499
5.002	4.899	0.257	2.497
5.005	4.899	0.259	2.498
5.004	4.899	0.258	2.497
5.004	4.899	0.258	2.497
5.003	4.899	0.258	2.497
5.004	4.899	0.258	2.496
5.003	4.899	0.258	2.498
5.003	4.898	0.257	2.496
5.003	4.899	0.260	2.496
5.005	4.899	0.257	2.497
5.006	4.898	0.257	2.497
5.004	4.899	0.258	2.497
5.002	4.899	0.258	2.496
5.002	4.899	0.257	2.497
5.007	4.899	0.258	2.498
5.004	4.899	0.258	2.496
5.004	4.899	0.259	2.497
5.002	4.899	0.258	2.498
5.003	4.899	0.257	2.497
5.005	4.899	0.259	2.497
5.004	4.900	0.259	2.496
5.003	4.899	0.260	2.498
5.003	4.899	0.259	2.496
5.004	4.899	0.257	2.496
5.004	4.899	0.260	2.498
5.004	4.899	0.258	2.497
5.003	4.899	0.257	2.496
5.003	4.899	0.259	2.496
5.003	4.899	0.258	2.497
5.002	4.899	0.257	2.497
5.006	4.899	0.259	2.498
5.002	4.899	0.257	2.496
5.005	4.899	0.258	2.498
5.003	4.899	0.256	2.498
5.003	4.900	0.257	2.497
5.002	4.898	0.258	2.496
5.001	4.899	0.260	2.498
5.004	4.900	0.258	2.497
5.006	4.899	0.260	2.498
5.004	4.899	0.259	2.497
5.004	4.899	0.258	2.497
5.005	4.899	0.258	2.498
5.006	4.899	0.258	2.497
5.005	4.899	0.256	2.497
5.004	4.899	0.258	2.498
5.002	4.898	0.258	2.498
5.002	4.899	0.257	2.497
5.004	4.899	0.258	2.496
5.004	4.900	0.258	2.496
5.002	4.899	0.257	2.497
5.005	4.899	0.259	2.497
5.004	4.899	0.259	2.496
5.005	4.899	0.257	2.497
5.001	4.898	0.260	2.498
5.003	4.899	0.259	2.497
5.002	4.899	0.258	2.496
5.004	4.899	0.260	2.497
5.004	4.899	0.259	2.498
5.004	4.899	0.257	2.498
5.001	4.898	0.256	2.499
5.002	4.898	0.257	2.498
5.004	4.899	0.256	2.499
5.003	4.900	0.257	2.499
5.003	4.899	0.259	2.497
5.005	4.900	0.258	2.497
5.003	4.899	0.258	2.497
5.003	4.899	0.259	2.496
5.004	4.899	0.257	2.497
5.003	4.899	0.259	2.497
5.007	4.899	0.258	2.495
5.005	4.899	0.260	2.499
5.006	4.899	0.260	2.496
5.003	4.899	0.258	2.495
5.005	4.899	0.258	2.496
5.005	4.899	0.258	2.497
5.005	4.899	0.259	2.497
5.003	4.899	0.258	2.495
5.003	4.898	0.258	2.498
5.006	4.899	0.257	2.498
5.006	4.899	0.258	2.498
5.004	4.899	0.257	2.497
5.003	4.899	0.257	2.498
5.004	4.899	0.257	2.498
5.004	4.900	0.259	2.498
5.004	4.899	0.257	2.497
5.003	4.899	0.257	2.498
5.002	4.899	0.258	2.499
5.000	4.899	0.259	2.498
5.004	4.899	0.258	2.498
5.003	4.899	0.258	2.497
5.003	4.899	0.258	2.497
5.004	4.899	0.259	2.498
5.004	4.899	0.259	2.497
5.005	4.899	0.259	2.497
5.003	4.899	0.258	2.499
5.005	4.899	0.258	2.498
5.004	4.898	0.259	2.498
5.002	4.898	0.259	2.498
5.004	4.899	0.258	2.497
5.005	4.899	0.257	2.498
5.006	4.899	0.258	2.496
5.004	4.898	0.257	2.499
5.004	4.899	0.259	2.497
5.002	4.899	0.258	2.497
5.003	4.898	0.258	2.497
5.005	4.899	0.261	2.497
5.004	4.899	0.257	2.497
5.004	4.899	0.259	2.497
5.003	4.899	0.259	2.496
5.003	4.899	0.258	2.497
5.004	4.900	0.258	2.497
5.005	4.900	0.259	2.497
5.001	4.899	0.257	2.497
5.004	4.899	0.258	2.499
5.003	4.899	0.258	2.494
5.003	4.899	0.258	2.495
5.006	4.899	0.259	2.498
5.006	4.899	0.258	2.496
5.003	4.899	0.259	2.497
5.003	4.899	0.259	2.497
5.003	4.899	0.257	2.498
5.006	4.899	0.256	2.497
5.008	4.899	0.256	2.497
5.004	4.898	0.258	2.497
5.002	4.900	0.259	2.497
5.003	4.899	0.255	2.496
5.004	4.899	0.259	2.496
5.004	4.899	0.258	2.498
5.003	4.899	0.258	2.499
5.003	4.898	0.258	2.498
5.001	4.899	0.258	2.498
5.001	4.898	0.261	2.498
5.003	4.899	0.259	2.498
5.005	4.899	0.257	2.497
5.004	4.900	0.259	2.497
5.003	4.898	0.258	2.498
5.004	4.899	0.259	2.499
5.006	4.899	0.257	2.497
5.006	4.899	0.258	2.497
5.005	4.898	0.258	2.499
5.002	4.899	0.261	2.499
5.002	4.899	0.258	2.498
5.003	4.899	0.259	2.499
5.004	4.899	0.260	2.499
5.006	4.899	0.260	2.498
5.004	4.899	0.258	2.497
5.002	4.899	0.258	2.497
5.005	4.899	0.258	2.499
5.004	4.899	0.257	2.497
5.005	4.898	0.258	2.496
5.006	4.899	0.260	2.497
5.004	4.899	0.258	2.496
5.000	4.900	0.258	2.497
5.005	4.899	0.257	2.498
5.006	4.899	0.259	2.499
5.005	4.899	0.256	2.496
5.005	4.899	0.258	2.496
5.004	4.899	0.259	2.498
5.001	4.899	0.258	2.496
5.006	4.899	0.260	2.497
5.003	4.899	0.259	2.497
5.006	4.899	0.257	2.496
5.004	4.899	0.258	2.498
5.004	4.899	0.260	2.496
5.004	4.898	0.258	2.496
5.005	4.899	0.257	2.498
5.003	4.899	0.259	2.498
5.003	4.899	0.260	2.499
5.004	4.899	0.257	2.497
5.004	4.899	0.259	2.498
5.005	4.899	0.259	2.498
5.003	4.899	0.258	2.497
5.005	4.899	0.259	2.499
5.004	4.898	0.256	2.497
5.004	4.898	0.259	2.498
5.005	4.899	0.258	2.499
5.007	4.899	0.260	2.499
5.003	4.899	0.258	2.497
5.004	4.899	0.260	2.498
5.004	4.899	0.258	2.499
5.003	4.899	0.257	2.498
5.002	4.899	0.260	2.498
5.003	4.899	0.259	2.498
5.001	4.899	0.258	2.499
5.002	4.899	0.259	2.498
5.003	4.899	0.259	2.500
5.004	4.899	0.259	2.498
5.005	4.899	0.256	2.498
5.004	4.899	0.258	2.498
5.004	4.899	0.257	2.498
5.005	4.899	0.258	2.498
5.006	4.899	0.258	2.498
5.005	4.898	0.259	2.498
5.003	4.899	0.258	2.498
5.002	4.899	0.258	2.497
5.004	4.899	0.259	2.497
5.002	4.899	0.257	2.497
