presFesto-1 [V]	AWM5-5 [V]	SSCDP15-3 [V]
4.990	1.059	2.511
4.989	1.059	2.511
4.990	1.058	2.510
4.986	1.059	2.510
4.992	1.058	2.510
4.987	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.989	1.059	2.510
4.990	1.058	2.509
4.987	1.059	2.510
4.988	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.509
4.987	1.058	2.510
4.989	1.058	2.509
4.988	1.058	2.510
4.988	1.059	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.986	1.058	2.510
4.988	1.059	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.988	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.511
4.988	1.058	2.511
4.989	1.059	2.510
4.989	1.058	2.510
4.990	1.058	2.510
4.988	1.059	2.510
4.991	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.986	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.992	1.058	2.511
4.988	1.058	2.510
4.989	1.057	2.511
4.987	1.058	2.510
4.989	1.059	2.510
4.991	1.058	2.510
4.987	1.058	2.511
4.988	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.511
4.988	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.993	1.058	2.511
4.989	1.058	2.509
4.991	1.058	2.510
4.991	1.058	2.510
4.992	1.058	2.511
4.992	1.058	2.510
4.989	1.059	2.510
4.991	1.057	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.993	1.058	2.510
4.987	1.059	2.510
4.990	1.058	2.511
4.988	1.058	2.510
4.988	1.058	2.511
4.989	1.058	2.509
4.990	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.988	1.058	2.510
4.991	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.511
4.989	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.987	1.059	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.508
4.989	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.510
4.991	1.058	2.511
4.988	1.058	2.510
4.990	1.058	2.509
4.989	1.058	2.510
4.988	1.058	2.511
4.988	1.058	2.511
4.990	1.058	2.510
4.986	1.058	2.509
4.987	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.511
4.989	1.058	2.510
4.990	1.058	2.510
4.988	1.057	2.510
4.992	1.058	2.510
4.989	1.057	2.511
4.992	1.058	2.510
4.988	1.058	2.509
4.990	1.058	2.510
4.988	1.058	2.511
4.990	1.059	2.510
4.989	1.059	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.988	1.059	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.510
4.988	1.059	2.510
4.988	1.059	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.987	1.058	2.510
4.989	1.058	2.511
4.989	1.057	2.510
4.987	1.058	2.509
4.987	1.058	2.511
4.990	1.058	2.510
4.990	1.058	2.509
4.988	1.058	2.510
4.991	1.058	2.511
4.990	1.058	2.510
4.989	1.059	2.510
4.990	1.058	2.510
4.989	1.059	2.510
4.988	1.059	2.511
4.990	1.059	2.510
4.988	1.058	2.510
4.992	1.058	2.509
4.991	1.058	2.510
4.990	1.058	2.510
4.989	1.059	2.511
4.992	1.058	2.510
4.988	1.058	2.510
4.983	1.058	2.509
4.988	1.058	2.509
4.988	1.058	2.510
4.987	1.058	2.511
4.987	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.992	1.058	2.511
4.988	1.058	2.510
4.991	1.058	2.510
4.988	1.059	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.509
4.990	1.058	2.509
4.989	1.058	2.510
4.990	1.058	2.510
4.987	1.058	2.510
4.992	1.058	2.510
4.989	1.058	2.509
4.990	1.058	2.510
4.987	1.058	2.509
4.991	1.058	2.510
4.988	1.057	2.510
4.989	1.058	2.510
4.987	1.058	2.510
4.991	1.058	2.510
4.989	1.059	2.510
4.988	1.058	2.510
4.986	1.059	2.509
4.987	1.058	2.509
4.988	1.059	2.510
4.988	1.059	2.510
4.989	1.058	2.509
4.987	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.991	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.509
4.988	1.057	2.510
4.990	1.059	2.510
4.989	1.058	2.510
4.989	1.058	2.511
4.985	1.057	2.510
4.990	1.058	2.509
4.988	1.058	2.509
4.989	1.058	2.510
4.988	1.058	2.510
4.990	1.059	2.511
4.987	1.058	2.510
4.987	1.058	2.514
4.987	1.058	2.510
4.988	1.057	2.510
4.986	1.058	2.510
4.986	1.058	2.510
4.987	1.058	2.511
4.988	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.511
4.988	1.058	2.509
4.989	1.058	2.510
4.989	1.059	2.510
4.989	1.058	2.510
4.991	1.059	2.510
4.991	1.058	2.511
4.992	1.059	2.510
4.992	1.058	2.510
4.988	1.059	2.510
4.989	1.058	2.509
4.991	1.059	2.510
4.992	1.059	2.510
4.986	1.058	2.511
4.989	1.059	2.510
4.986	1.058	2.510
4.988	1.058	2.510
4.986	1.057	2.508
4.989	1.058	2.510
4.987	1.058	2.510
4.986	1.058	2.510
4.987	1.058	2.511
4.987	1.058	2.508
4.986	1.057	2.510
4.987	1.058	2.509
4.987	1.058	2.510
4.986	1.058	2.511
4.989	1.058	2.509
4.988	1.058	2.509
4.987	1.058	2.510
4.987	1.058	2.510
4.992	1.058	2.510
4.988	1.058	2.510
4.991	1.059	2.510
4.988	1.058	2.509
4.990	1.058	2.509
4.986	1.057	2.508
4.989	1.058	2.511
4.989	1.058	2.509
4.991	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.511
4.988	1.058	2.509
4.987	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.989	1.059	2.509
4.988	1.058	2.510
4.989	1.058	2.510
4.992	1.058	2.510
4.991	1.058	2.510
4.991	1.059	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.990	1.059	2.509
4.993	1.058	2.510
4.989	1.058	2.509
4.988	1.058	2.510
4.991	1.058	2.510
4.987	1.058	2.509
4.990	1.058	2.511
4.987	1.058	2.509
4.991	1.058	2.511
4.988	1.058	2.510
4.989	1.059	2.510
4.987	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.511
4.989	1.058	2.511
4.987	1.058	2.509
4.989	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.509
4.988	1.058	2.510
4.993	1.059	2.510
4.989	1.058	2.510
4.992	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.509
4.988	1.058	2.509
4.989	1.059	2.511
4.987	1.058	2.510
4.987	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.511
4.988	1.058	2.510
4.988	1.058	2.510
4.987	1.058	2.510
4.990	1.059	2.510
4.990	1.057	2.510
4.986	1.058	2.509
4.990	1.058	2.510
4.991	1.058	2.510
4.984	1.058	2.509
4.989	1.058	2.511
4.986	1.058	2.509
4.990	1.058	2.510
4.992	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.509
4.989	1.058	2.509
4.988	1.058	2.509
4.990	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.509
4.987	1.058	2.509
4.990	1.058	2.510
4.986	1.058	2.510
4.989	1.058	2.511
4.989	1.058	2.509
4.989	1.058	2.509
4.986	1.058	2.510
4.988	1.058	2.509
4.990	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.511
4.988	1.058	2.510
4.987	1.058	2.509
4.986	1.058	2.510
4.987	1.058	2.509
4.989	1.058	2.509
4.990	1.058	2.509
4.989	1.058	2.510
4.989	1.058	2.510
4.992	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.510
4.992	1.058	2.510
4.988	1.058	2.511
4.992	1.058	2.510
4.988	1.058	2.512
4.992	1.058	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.990	1.058	2.510
4.987	1.057	2.510
4.989	1.059	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.987	1.059	2.510
4.990	1.058	2.511
4.987	1.058	2.510
4.987	1.059	2.510
4.987	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.990	1.058	2.510
4.989	1.057	2.509
4.990	1.058	2.510
4.989	1.057	2.511
4.989	1.059	2.509
4.989	1.058	2.510
4.988	1.058	2.509
4.991	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.990	1.058	2.510
4.989	1.059	2.510
4.986	1.058	2.509
4.989	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.511
4.988	1.058	2.510
4.989	1.059	2.510
4.989	1.058	2.509
4.988	1.059	2.510
4.989	1.059	2.510
4.987	1.058	2.510
4.990	1.059	2.510
4.988	1.058	2.509
4.993	1.058	2.511
4.989	1.057	2.510
4.990	1.059	2.509
4.991	1.058	2.510
4.990	1.058	2.510
4.991	1.057	2.510
4.989	1.058	2.510
4.989	1.059	2.510
4.988	1.059	2.510
4.992	1.058	2.510
4.986	1.058	2.510
4.989	1.057	2.511
4.989	1.058	2.509
4.990	1.058	2.510
4.990	1.058	2.511
4.988	1.058	2.511
4.991	1.058	2.510
4.990	1.059	2.511
4.987	1.058	2.510
4.992	1.058	2.510
4.987	1.059	2.510
4.988	1.058	2.510
4.989	1.059	2.509
4.988	1.058	2.509
4.991	1.057	2.510
4.987	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.991	1.059	2.509
4.988	1.058	2.510
4.990	1.058	2.509
4.988	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.994	1.058	2.510
4.990	1.058	2.510
4.989	1.059	2.510
4.991	1.058	2.509
4.991	1.058	2.510
4.990	1.058	2.511
4.986	1.058	2.511
4.989	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.509
4.990	1.058	2.510
4.988	1.058	2.509
4.990	1.058	2.510
4.987	1.058	2.511
4.988	1.059	2.510
4.988	1.059	2.510
4.987	1.058	2.510
4.988	1.058	2.511
4.987	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.992	1.058	2.510
4.987	1.058	2.511
4.987	1.058	2.510
4.987	1.059	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.990	1.059	2.511
4.989	1.058	2.510
4.991	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.990	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.987	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.511
4.991	1.058	2.510
4.987	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.510
4.988	1.058	2.510
4.992	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.510
4.992	1.058	2.510
4.987	1.057	2.510
4.992	1.058	2.510
4.988	1.058	2.509
4.990	1.058	2.510
4.990	1.057	2.509
4.989	1.058	2.510
4.987	1.057	2.510
4.988	1.057	2.511
4.988	1.058	2.511
4.989	1.057	2.510
4.988	1.057	2.510
4.990	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.509
4.989	1.058	2.511
4.987	1.058	2.509
4.988	1.058	2.510
4.987	1.058	2.511
4.986	1.058	2.509
4.989	1.058	2.510
4.988	1.058	2.509
4.989	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.509
4.987	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.511
4.991	1.058	2.510
4.989	1.058	2.511
4.990	1.057	2.510
4.989	1.058	2.511
4.990	1.058	2.510
4.989	1.058	2.510
4.988	1.059	2.509
4.988	1.058	2.509
4.988	1.058	2.510
4.987	1.058	2.509
4.990	1.058	2.510
4.988	1.058	2.511
4.988	1.058	2.510
4.987	1.058	2.511
4.990	1.059	2.510
4.991	1.058	2.511
4.990	1.058	2.510
4.987	1.059	2.510
4.992	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.511
4.989	1.058	2.510
4.992	1.058	2.510
4.989	1.058	2.509
4.988	1.058	2.509
4.991	1.058	2.510
4.992	1.059	2.509
4.988	1.059	2.510
4.987	1.057	2.510
4.990	1.058	2.511
4.989	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.509
4.990	1.058	2.510
4.990	1.059	2.510
4.986	1.058	2.510
4.987	1.058	2.510
4.987	1.058	2.509
4.989	1.058	2.511
4.986	1.058	2.510
4.986	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.509
4.990	1.058	2.511
4.991	1.059	2.511
4.991	1.058	2.510
4.988	1.058	2.510
4.993	1.059	2.510
4.987	1.058	2.510
4.990	1.058	2.510
4.992	1.058	2.510
4.992	1.058	2.510
4.990	1.058	2.509
4.990	1.058	2.510
4.991	1.058	2.511
4.989	1.058	2.510
4.989	1.059	2.509
4.988	1.058	2.510
4.991	1.058	2.511
4.987	1.058	2.510
4.990	1.058	2.509
4.990	1.058	2.510
4.989	1.059	2.510
4.987	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.511
4.985	1.058	2.508
4.987	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.987	1.058	2.511
4.988	1.058	2.510
4.988	1.058	2.511
4.990	1.058	2.511
4.987	1.058	2.509
4.992	1.058	2.511
4.989	1.058	2.510
4.991	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.509
4.989	1.057	2.510
4.991	1.058	2.510
4.989	1.057	2.510
4.988	1.058	2.510
4.991	1.059	2.509
4.989	1.059	2.512
4.990	1.058	2.510
4.989	1.058	2.511
4.988	1.058	2.510
4.987	1.058	2.509
4.990	1.059	2.510
4.988	1.058	2.510
4.991	1.058	2.510
4.987	1.058	2.509
4.990	1.058	2.510
4.991	1.058	2.510
4.988	1.059	2.510
4.991	1.058	2.512
4.991	1.059	2.510
4.990	1.058	2.511
4.990	1.059	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.990	1.058	2.510
4.988	1.059	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.991	1.058	2.511
4.989	1.059	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.510
4.988	1.059	2.510
4.987	1.057	2.510
4.988	1.059	2.509
4.989	1.058	2.509
4.987	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.511
4.989	1.058	2.510
4.991	1.058	2.509
4.989	1.058	2.509
4.991	1.058	2.510
4.989	1.058	2.510
4.992	1.058	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.994	1.058	2.511
4.991	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.510
4.991	1.058	2.510
4.990	1.058	2.511
4.991	1.058	2.510
4.987	1.057	2.510
4.989	1.058	2.511
4.989	1.058	2.510
4.990	1.058	2.511
4.993	1.058	2.509
4.988	1.058	2.511
4.988	1.058	2.510
4.986	1.058	2.510
4.987	1.058	2.510
4.987	1.059	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.510
4.988	1.058	2.509
4.991	1.058	2.509
4.986	1.058	2.513
4.991	1.057	2.509
4.988	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.511
4.991	1.059	2.510
4.990	1.058	2.510
4.991	1.059	2.510
4.989	1.058	2.512
4.990	1.058	2.511
4.990	1.058	2.509
4.987	1.058	2.510
4.990	1.057	2.510
4.990	1.058	2.509
4.990	1.058	2.510
4.989	1.058	2.509
4.990	1.058	2.510
4.986	1.058	2.510
4.990	1.058	2.509
4.988	1.059	2.511
4.990	1.058	2.510
4.986	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.988	1.059	2.509
4.988	1.058	2.510
4.988	1.058	2.510
4.988	1.059	2.510
4.990	1.058	2.511
4.990	1.058	2.509
4.989	1.058	2.510
4.988	1.059	2.510
4.990	1.058	2.510
4.991	1.058	2.511
4.989	1.058	2.509
4.993	1.058	2.511
4.988	1.059	2.510
4.992	1.058	2.510
4.987	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.511
4.989	1.058	2.508
4.986	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.510
4.987	1.058	2.510
4.988	1.058	2.511
4.988	1.058	2.511
4.987	1.058	2.510
4.990	1.058	2.509
4.987	1.058	2.510
4.990	1.057	2.510
4.989	1.058	2.509
4.989	1.058	2.511
4.992	1.057	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.988	1.057	2.509
4.989	1.057	2.509
4.989	1.058	2.510
4.989	1.058	2.511
4.988	1.058	2.510
4.991	1.058	2.510
4.989	1.059	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.990	1.057	2.509
4.991	1.057	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.986	1.058	2.511
4.988	1.058	2.510
4.985	1.058	2.511
4.991	1.057	2.510
4.989	1.058	2.510
4.991	1.058	2.511
4.987	1.058	2.510
4.989	1.057	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.990	1.058	2.510
4.992	1.058	2.509
4.990	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.511
4.991	1.057	2.509
4.988	1.057	2.511
4.991	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.510
4.991	1.059	2.508
4.988	1.057	2.510
4.988	1.058	2.511
4.990	1.058	2.510
4.987	1.057	2.510
4.988	1.058	2.510
4.990	1.058	2.510
4.985	1.058	2.509
4.989	1.058	2.509
4.989	1.057	2.510
4.990	1.058	2.509
4.986	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.989	1.059	2.510
4.991	1.058	2.510
4.988	1.058	2.511
4.992	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.510
4.988	1.057	2.510
4.991	1.057	2.511
4.989	1.057	2.510
4.988	1.058	2.510
4.988	1.057	2.510
4.986	1.058	2.509
4.985	1.058	2.510
4.987	1.058	2.510
4.988	1.057	2.510
4.987	1.057	2.510
4.990	1.058	2.510
4.987	1.058	2.509
4.989	1.058	2.509
4.988	1.059	2.511
4.989	1.058	2.509
4.990	1.058	2.510
4.988	1.058	2.509
4.990	1.057	2.511
4.991	1.057	2.510
4.989	1.057	2.510
4.989	1.057	2.510
4.988	1.057	2.509
4.988	1.057	2.510
4.990	1.057	2.509
4.988	1.057	2.509
4.990	1.057	2.510
4.987	1.057	2.509
4.989	1.057	2.511
4.989	1.057	2.510
4.989	1.058	2.510
4.988	1.057	2.510
4.993	1.058	2.510
4.988	1.057	2.512
4.989	1.057	2.511
4.987	1.058	2.511
4.986	1.058	2.510
4.989	1.057	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.988	1.057	2.509
4.990	1.058	2.509
4.987	1.057	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.990	1.057	2.510
4.988	1.058	2.510
4.991	1.057	2.511
4.988	1.057	2.510
4.990	1.058	2.509
4.988	1.057	2.510
4.992	1.059	2.511
4.988	1.058	2.509
4.989	1.059	2.510
4.989	1.058	2.509
4.990	1.058	2.510
4.989	1.058	2.511
4.988	1.059	2.510
4.989	1.058	2.511
4.987	1.059	2.509
4.988	1.058	2.510
4.987	1.059	2.510
4.991	1.059	2.510
4.988	1.058	2.510
4.990	1.059	2.510
4.988	1.058	2.509
4.990	1.059	2.510
4.987	1.059	2.511
4.988	1.058	2.510
4.989	1.059	2.510
4.988	1.058	2.510
4.992	1.058	2.510
4.991	1.059	2.509
4.988	1.059	2.510
4.988	1.058	2.510
4.991	1.059	2.509
4.989	1.059	2.510
4.991	1.059	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.991	1.059	2.510
4.988	1.059	2.510
4.988	1.058	2.510
4.986	1.058	2.509
4.991	1.058	2.510
4.986	1.058	2.510
4.989	1.058	2.511
4.987	1.058	2.510
4.987	1.058	2.509
4.987	1.058	2.510
4.990	1.058	2.510
4.986	1.058	2.510
4.991	1.058	2.510
4.986	1.058	2.510
4.990	1.058	2.510
4.987	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.988	1.057	2.509
4.990	1.058	2.510
4.990	1.057	2.510
4.988	1.058	2.509
4.989	1.057	2.510
4.988	1.058	2.511
4.989	1.058	2.510
4.988	1.057	2.510
4.990	1.058	2.510
4.986	1.058	2.510
4.989	1.058	2.510
4.988	1.057	2.511
4.992	1.058	2.510
4.985	1.059	2.509
4.991	1.058	2.510
4.987	1.058	2.510
4.990	1.059	2.510
4.987	1.058	2.510
4.990	1.058	2.510
4.990	1.059	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.510
4.987	1.059	2.509
4.989	1.058	2.511
4.990	1.058	2.510
4.991	1.059	2.510
4.987	1.058	2.511
4.988	1.059	2.512
4.989	1.058	2.510
4.989	1.059	2.510
4.989	1.059	2.509
4.991	1.059	2.510
4.988	1.060	2.509
4.989	1.060	2.510
4.987	1.059	2.510
4.988	1.060	2.510
4.989	1.059	2.511
4.988	1.059	2.510
4.988	1.060	2.511
4.988	1.059	2.515
4.989	1.059	2.509
4.986	1.059	2.510
4.988	1.060	2.510
4.987	1.059	2.510
4.988	1.059	2.510
4.987	1.058	2.509
4.989	1.059	2.509
4.988	1.058	2.510
4.993	1.059	2.510
4.990	1.059	2.509
4.990	1.060	2.510
4.989	1.058	2.509
4.992	1.059	2.510
4.991	1.059	2.511
4.992	1.059	2.510
4.990	1.059	2.508
4.989	1.060	2.511
4.990	1.059	2.510
4.990	1.059	2.510
4.991	1.059	2.510
4.988	1.059	2.510
4.992	1.058	2.511
4.988	1.058	2.510
4.991	1.059	2.510
4.987	1.059	2.510
4.990	1.058	2.510
4.987	1.058	2.510
4.987	1.058	2.510
4.988	1.058	2.511
4.989	1.058	2.510
4.988	1.058	2.510
4.987	1.058	2.510
4.988	1.059	2.509
4.988	1.058	2.510
4.989	1.058	2.510
4.988	1.059	2.510
4.990	1.058	2.510
4.989	1.059	2.510
4.989	1.059	2.510
4.989	1.058	2.510
4.990	1.059	2.510
4.989	1.058	2.510
4.991	1.058	2.510
4.991	1.058	2.507
4.990	1.058	2.510
4.988	1.058	2.509
4.992	1.059	2.510
4.989	1.059	2.510
4.989	1.058	2.509
4.987	1.058	2.510
4.987	1.059	2.510
4.990	1.058	2.510
4.987	1.059	2.510
4.989	1.059	2.510
4.987	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.510
4.990	1.058	2.511
4.989	1.058	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.987	1.058	2.510
4.989	1.058	2.510
4.987	1.059	2.511
4.990	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.511
4.988	1.058	2.509
4.991	1.058	2.511
4.988	1.059	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.990	1.059	2.509
4.989	1.058	2.510
4.987	1.058	2.509
4.988	1.059	2.510
4.988	1.059	2.511
4.988	1.059	2.509
4.987	1.058	2.510
4.988	1.058	2.510
4.986	1.058	2.510
4.990	1.058	2.510
4.986	1.058	2.511
4.990	1.058	2.509
4.989	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.987	1.058	2.508
4.991	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.992	1.058	2.510
4.987	1.058	2.509
4.991	1.058	2.511
4.988	1.057	2.510
4.989	1.058	2.511
4.989	1.058	2.510
4.990	1.058	2.509
4.987	1.057	2.510
4.991	1.058	2.510
4.986	1.058	2.510
4.990	1.057	2.510
4.990	1.057	2.509
4.986	1.057	2.511
4.987	1.057	2.510
4.990	1.057	2.510
4.987	1.057	2.509
4.987	1.058	2.511
4.990	1.058	2.510
4.987	1.057	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.991	1.058	2.511
4.987	1.058	2.510
4.991	1.058	2.511
4.990	1.058	2.510
4.991	1.058	2.509
4.986	1.058	2.510
4.991	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.989	1.058	2.510
4.989	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.989	1.058	2.510
4.992	1.059	2.509
4.988	1.058	2.510
4.989	1.058	2.511
4.989	1.058	2.510
4.988	1.058	2.509
4.992	1.058	2.510
4.987	1.058	2.510
4.988	1.058	2.511
4.986	1.059	2.510
4.986	1.058	2.510
4.988	1.058	2.511
4.987	1.057	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.988	1.058	2.510
4.991	1.057	2.510
4.990	1.058	2.510
4.989	1.058	2.509
4.989	1.058	2.511
4.991	1.058	2.510
4.989	1.057	2.512
4.989	1.058	2.510
4.991	1.058	2.510
4.987	1.059	2.511
4.989	1.058	2.510
4.988	1.057	2.511
4.988	1.058	2.510
4.990	1.057	2.510
4.988	1.057	2.510
4.990	1.058	2.510
4.988	1.058	2.510
4.987	1.057	2.510
4.991	1.058	2.510
4.986	1.057	2.511
4.991	1.057	2.509
4.989	1.057	2.511
4.986	1.057	2.510
4.989	1.058	2.509
4.988	1.058	2.510
4.990	1.057	2.509
4.990	1.057	2.510
4.991	1.057	2.510
4.988	1.058	2.511
4.992	1.058	2.510
4.986	1.058	2.511
4.990	1.058	2.509
4.990	1.057	2.509
4.991	1.057	2.510
4.987	1.058	2.510
4.989	1.057	2.510
4.989	1.057	2.509
4.989	1.058	2.510
4.989	1.057	2.511
4.986	1.057	2.510
4.989	1.057	2.510
4.987	1.057	2.509
4.990	1.058	2.510
4.987	1.057	2.510
4.990	1.057	2.511
4.988	1.057	2.510
4.990	1.057	2.509
4.987	1.058	2.510
4.990	1.058	2.511
4.989	1.058	2.510
4.990	1.058	2.509
4.988	1.058	2.510
4.990	1.058	2.510
4.991	1.058	2.510
4.987	1.058	2.510
4.990	1.059	2.510
4.990	1.057	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.990	1.058	2.512
4.990	1.057	2.509
4.988	1.058	2.510
4.987	1.058	2.509
4.988	1.058	2.510
4.989	1.058	2.510
4.988	1.058	2.510
4.988	1.059	2.509
4.988	1.059	2.511
4.988	1.059	2.511
4.987	1.059	2.509
4.990	1.058	2.511
4.987	1.058	2.510
4.989	1.058	2.511
4.988	1.058	2.510
4.989	1.059	2.509
4.989	1.058	2.510
4.987	1.058	2.509
4.990	1.058	2.510
4.988	1.058	2.510
4.990	1.058	2.509
4.990	1.058	2.511
4.989	1.059	2.509
4.987	1.058	2.510
4.991	1.059	2.510
4.991	1.058	2.510
4.991	1.058	2.510
4.992	1.059	2.509
4.990	1.060	2.510
4.990	1.058	2.510
4.990	1.058	2.510
4.988	1.058	2.509
4.988	1.058	2.510
4.990	1.058	2.510
