presFesto5-1 [V]	AWM5-5 [V]	MPX700-2 [V]
1.706	1.060	0.018
1.708	1.062	0.018
1.701	1.061	0.018
1.698	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.017
1.707	1.061	0.017
1.701	1.061	0.018
1.704	1.061	0.018
1.702	1.061	0.017
1.703	1.061	0.018
1.704	1.062	0.018
1.701	1.062	0.018
1.707	1.061	0.017
1.701	1.062	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.704	1.062	0.018
1.706	1.061	0.018
1.704	1.062	0.018
1.707	1.062	0.018
1.710	1.062	0.018
1.704	1.062	0.018
1.705	1.061	0.018
1.703	1.061	0.018
1.708	1.061	0.017
1.704	1.061	0.018
1.705	1.061	0.018
1.708	1.062	0.018
1.702	1.061	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.708	1.061	0.018
1.703	1.061	0.018
1.708	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.708	1.062	0.018
1.700	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.017
1.706	1.061	0.018
1.707	1.061	0.018
1.705	1.062	0.018
1.704	1.061	0.018
1.708	1.062	0.017
1.703	1.061	0.018
1.708	1.061	0.017
1.706	1.061	0.018
1.703	1.062	0.018
1.703	1.061	0.017
1.705	1.061	0.017
1.708	1.061	0.018
1.707	1.061	0.018
1.700	1.061	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.018
1.702	1.061	0.018
1.703	1.061	0.018
1.702	1.061	0.018
1.705	1.061	0.017
1.706	1.060	0.017
1.706	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.708	1.061	0.018
1.699	1.061	0.017
1.705	1.061	0.018
1.707	1.061	0.017
1.702	1.061	0.018
1.707	1.061	0.018
1.699	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.700	1.060	0.017
1.701	1.061	0.018
1.704	1.061	0.018
1.701	1.061	0.018
1.705	1.062	0.018
1.701	1.061	0.018
1.706	1.062	0.017
1.704	1.061	0.018
1.706	1.061	0.018
1.709	1.061	0.018
1.703	1.061	0.018
1.708	1.062	0.018
1.707	1.061	0.018
1.703	1.061	0.017
1.704	1.061	0.018
1.706	1.061	0.018
1.699	1.061	0.017
1.706	1.061	0.017
1.701	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.018
1.704	1.061	0.018
1.708	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.017
1.703	1.061	0.018
1.701	1.062	0.018
1.703	1.062	0.018
1.703	1.061	0.017
1.709	1.062	0.018
1.705	1.062	0.018
1.705	1.061	0.018
1.699	1.061	0.018
1.704	1.061	0.018
1.702	1.061	0.018
1.707	1.061	0.017
1.701	1.060	0.018
1.703	1.061	0.018
1.709	1.061	0.018
1.704	1.061	0.018
1.702	1.061	0.017
1.703	1.061	0.018
1.703	1.061	0.018
1.708	1.061	0.018
1.703	1.061	0.017
1.706	1.061	0.018
1.709	1.061	0.018
1.703	1.061	0.018
1.705	1.061	0.018
1.701	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.705	1.062	0.018
1.708	1.061	0.018
1.705	1.061	0.017
1.701	1.061	0.018
1.708	1.062	0.018
1.702	1.061	0.018
1.708	1.061	0.018
1.704	1.062	0.018
1.707	1.061	0.018
1.703	1.062	0.018
1.703	1.061	0.017
1.703	1.062	0.017
1.703	1.061	0.018
1.707	1.061	0.017
1.700	1.062	0.017
1.704	1.062	0.017
1.707	1.062	0.018
1.704	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.017
1.700	1.061	0.018
1.701	1.061	0.018
1.709	1.061	0.017
1.705	1.061	0.017
1.705	1.062	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.703	1.062	0.018
1.701	1.061	0.018
1.702	1.062	0.017
1.703	1.062	0.017
1.698	1.061	0.017
1.703	1.062	0.018
1.703	1.062	0.018
1.700	1.062	0.018
1.702	1.061	0.017
1.701	1.060	0.018
1.702	1.061	0.018
1.702	1.061	0.018
1.706	1.060	0.018
1.705	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.018
1.701	1.061	0.018
1.701	1.062	0.018
1.703	1.062	0.018
1.705	1.061	0.018
1.701	1.061	0.018
1.707	1.061	0.018
1.708	1.061	0.018
1.705	1.061	0.018
1.708	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.018
1.709	1.061	0.018
1.700	1.060	0.018
1.706	1.061	0.017
1.705	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.699	1.061	0.017
1.703	1.061	0.018
1.704	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.708	1.061	0.018
1.702	1.062	0.017
1.702	1.061	0.018
1.705	1.061	0.018
1.700	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.703	1.062	0.018
1.701	1.061	0.018
1.704	1.061	0.017
1.705	1.062	0.018
1.704	1.062	0.017
1.700	1.062	0.018
1.701	1.060	0.017
1.703	1.060	0.017
1.698	1.061	0.017
1.706	1.062	0.018
1.705	1.061	0.018
1.707	1.062	0.018
1.704	1.061	0.018
1.700	1.061	0.017
1.704	1.062	0.018
1.700	1.061	0.018
1.702	1.061	0.018
1.701	1.061	0.018
1.702	1.061	0.018
1.707	1.061	0.018
1.704	1.061	0.017
1.705	1.061	0.017
1.701	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.018
1.700	1.061	0.018
1.706	1.062	0.017
1.708	1.061	0.018
1.709	1.060	0.018
1.705	1.061	0.018
1.698	1.061	0.018
1.705	1.061	0.018
1.703	1.061	0.017
1.701	1.061	0.018
1.702	1.061	0.017
1.701	1.062	0.018
1.702	1.061	0.018
1.703	1.061	0.018
1.704	1.061	0.018
1.708	1.061	0.018
1.703	1.061	0.017
1.703	1.061	0.017
1.700	1.061	0.018
1.701	1.061	0.017
1.706	1.061	0.018
1.703	1.061	0.018
1.705	1.060	0.018
1.706	1.061	0.018
1.708	1.062	0.018
1.707	1.061	0.018
1.705	1.061	0.017
1.706	1.061	0.018
1.701	1.061	0.018
1.705	1.061	0.018
1.712	1.062	0.018
1.704	1.060	0.018
1.708	1.061	0.018
1.704	1.061	0.018
1.707	1.062	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.702	1.061	0.017
1.703	1.061	0.018
1.705	1.061	0.018
1.709	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.017
1.704	1.061	0.018
1.707	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.711	1.062	0.018
1.704	1.061	0.018
1.704	1.062	0.018
1.708	1.062	0.018
1.704	1.062	0.018
1.710	1.061	0.017
1.701	1.061	0.017
1.701	1.061	0.018
1.701	1.061	0.017
1.700	1.061	0.017
1.700	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.018
1.704	1.061	0.017
1.702	1.061	0.018
1.698	1.061	0.017
1.700	1.062	0.017
1.707	1.061	0.018
1.705	1.061	0.018
1.704	1.062	0.018
1.705	1.061	0.018
1.703	1.061	0.018
1.705	1.061	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.707	1.061	0.018
1.702	1.061	0.018
1.707	1.062	0.018
1.707	1.061	0.018
1.709	1.061	0.018
1.707	1.061	0.018
1.700	1.061	0.017
1.707	1.061	0.018
1.705	1.061	0.018
1.712	1.061	0.017
1.707	1.061	0.017
1.698	1.061	0.018
1.703	1.060	0.018
1.700	1.061	0.018
1.704	1.062	0.018
1.704	1.061	0.018
1.702	1.062	0.017
1.705	1.061	0.017
1.705	1.061	0.018
1.704	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.017
1.704	1.060	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.703	1.061	0.018
1.702	1.061	0.018
1.703	1.061	0.017
1.705	1.061	0.018
1.703	1.060	0.018
1.705	1.061	0.018
1.703	1.062	0.017
1.704	1.061	0.018
1.702	1.060	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.702	1.061	0.018
1.706	1.061	0.017
1.705	1.061	0.017
1.708	1.062	0.018
1.702	1.062	0.017
1.708	1.061	0.018
1.708	1.061	0.018
1.707	1.062	0.018
1.707	1.061	0.018
1.702	1.062	0.018
1.708	1.061	0.018
1.706	1.061	0.018
1.709	1.061	0.018
1.707	1.061	0.018
1.703	1.061	0.017
1.704	1.061	0.017
1.707	1.061	0.018
1.703	1.061	0.017
1.708	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.017
1.699	1.062	0.018
1.703	1.062	0.018
1.703	1.061	0.018
1.699	1.061	0.018
1.702	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.698	1.062	0.018
1.706	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.709	1.061	0.018
1.704	1.061	0.018
1.704	1.062	0.017
1.706	1.062	0.018
1.708	1.061	0.018
1.704	1.061	0.017
1.704	1.061	0.018
1.702	1.062	0.018
1.699	1.061	0.018
1.702	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.017
1.702	1.062	0.018
1.702	1.061	0.018
1.706	1.060	0.018
1.708	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.700	1.061	0.017
1.712	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.704	1.061	0.018
1.706	1.061	0.018
1.710	1.062	0.017
1.708	1.061	0.018
1.708	1.061	0.017
1.705	1.062	0.018
1.701	1.061	0.018
1.706	1.061	0.017
1.703	1.061	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.704	1.061	0.018
1.702	1.061	0.018
1.701	1.061	0.018
1.701	1.061	0.017
1.701	1.061	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.018
1.704	1.061	0.018
1.704	1.062	0.018
1.703	1.062	0.018
1.700	1.061	0.018
1.704	1.061	0.017
1.703	1.062	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.705	1.062	0.017
1.705	1.061	0.018
1.707	1.061	0.018
1.705	1.061	0.018
1.703	1.061	0.018
1.703	1.062	0.017
1.704	1.062	0.017
1.703	1.061	0.018
1.707	1.061	0.018
1.709	1.061	0.018
1.705	1.061	0.018
1.705	1.062	0.017
1.706	1.061	0.018
1.701	1.061	0.018
1.707	1.062	0.018
1.703	1.061	0.017
1.705	1.061	0.017
1.707	1.061	0.017
1.702	1.061	0.017
1.705	1.061	0.018
1.698	1.061	0.018
1.705	1.061	0.017
1.707	1.061	0.018
1.704	1.061	0.018
1.704	1.061	0.018
1.708	1.061	0.018
1.707	1.061	0.018
1.706	1.061	0.018
1.703	1.060	0.018
1.703	1.061	0.018
1.699	1.061	0.017
1.702	1.061	0.018
1.705	1.061	0.017
1.707	1.061	0.018
1.702	1.061	0.018
1.700	1.062	0.018
1.700	1.061	0.018
1.706	1.060	0.017
1.700	1.060	0.017
1.708	1.061	0.017
1.705	1.061	0.017
1.705	1.061	0.018
1.704	1.061	0.018
1.703	1.062	0.017
1.705	1.061	0.018
1.704	1.061	0.018
1.704	1.062	0.018
1.702	1.062	0.018
1.703	1.061	0.018
1.708	1.062	0.018
1.706	1.061	0.018
1.704	1.062	0.017
1.706	1.061	0.017
1.700	1.061	0.018
1.701	1.062	0.018
1.702	1.061	0.018
1.702	1.061	0.018
1.702	1.061	0.018
1.701	1.061	0.017
1.706	1.061	0.018
1.699	1.061	0.017
1.699	1.061	0.018
1.706	1.061	0.018
1.702	1.061	0.017
1.705	1.061	0.018
1.699	1.061	0.017
1.704	1.061	0.018
1.706	1.061	0.017
1.703	1.061	0.018
1.706	1.062	0.018
1.704	1.062	0.018
1.708	1.062	0.018
1.704	1.061	0.017
1.707	1.061	0.018
1.706	1.061	0.017
1.703	1.061	0.018
1.703	1.061	0.018
1.704	1.061	0.018
1.701	1.061	0.018
1.704	1.062	0.018
1.701	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.018
1.707	1.062	0.017
1.708	1.061	0.017
1.704	1.060	0.018
1.701	1.061	0.018
1.706	1.061	0.018
1.702	1.061	0.018
1.707	1.062	0.017
1.707	1.061	0.018
1.703	1.061	0.018
1.709	1.061	0.018
1.704	1.062	0.018
1.705	1.061	0.018
1.710	1.061	0.018
1.704	1.062	0.017
1.709	1.061	0.018
1.702	1.061	0.017
1.702	1.061	0.017
1.699	1.060	0.018
1.698	1.061	0.018
1.706	1.061	0.017
1.707	1.061	0.018
1.703	1.061	0.017
1.706	1.061	0.017
1.703	1.062	0.018
1.704	1.061	0.017
1.707	1.061	0.018
1.708	1.061	0.018
1.705	1.062	0.017
1.701	1.061	0.018
1.703	1.061	0.018
1.704	1.061	0.018
1.700	1.061	0.018
1.708	1.061	0.018
1.700	1.061	0.018
1.701	1.061	0.017
1.702	1.061	0.018
1.703	1.061	0.018
1.701	1.061	0.018
1.706	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.018
1.702	1.061	0.017
1.705	1.061	0.018
1.703	1.061	0.017
1.701	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.017
1.709	1.062	0.017
1.709	1.061	0.018
1.703	1.062	0.018
1.705	1.061	0.017
1.705	1.060	0.017
1.700	1.062	0.018
1.701	1.061	0.018
1.700	1.061	0.017
1.703	1.062	0.017
1.699	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.018
1.701	1.062	0.017
1.706	1.061	0.017
1.702	1.061	0.018
1.704	1.061	0.017
1.705	1.062	0.017
1.703	1.061	0.018
1.700	1.061	0.018
1.706	1.061	0.018
1.706	1.062	0.017
1.705	1.061	0.017
1.702	1.062	0.018
1.702	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.018
1.709	1.061	0.018
1.700	1.062	0.018
1.702	1.061	0.018
1.705	1.061	0.018
1.699	1.060	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.705	1.061	0.017
1.706	1.061	0.017
1.702	1.062	0.018
1.709	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.018
1.703	1.061	0.018
1.703	1.062	0.017
1.709	1.062	0.018
1.704	1.062	0.018
1.709	1.062	0.018
1.707	1.061	0.018
1.700	1.061	0.018
1.707	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.710	1.061	0.018
1.707	1.061	0.018
1.707	1.061	0.018
1.706	1.060	0.018
1.707	1.061	0.017
1.703	1.062	0.018
1.702	1.061	0.018
1.701	1.062	0.018
1.703	1.061	0.018
1.702	1.061	0.018
1.703	1.061	0.018
1.700	1.061	0.018
1.701	1.062	0.018
1.706	1.060	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.707	1.061	0.018
1.705	1.061	0.018
1.706	1.062	0.017
1.704	1.061	0.018
1.707	1.061	0.018
1.707	1.061	0.017
1.704	1.061	0.018
1.706	1.062	0.018
1.708	1.061	0.018
1.706	1.061	0.018
1.709	1.062	0.017
1.704	1.061	0.018
1.708	1.062	0.017
1.703	1.062	0.018
1.702	1.061	0.018
1.705	1.062	0.018
1.701	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.706	1.061	0.018
1.703	1.061	0.018
1.700	1.061	0.018
1.706	1.061	0.018
1.699	1.061	0.018
1.699	1.061	0.018
1.704	1.061	0.018
1.701	1.061	0.018
1.707	1.060	0.018
1.707	1.062	0.018
1.706	1.060	0.017
1.702	1.062	0.018
1.704	1.061	0.018
1.709	1.061	0.018
1.709	1.061	0.018
1.705	1.061	0.017
1.707	1.061	0.018
1.702	1.062	0.018
1.706	1.061	0.018
1.707	1.061	0.017
1.705	1.061	0.018
1.707	1.060	0.018
1.700	1.061	0.018
1.703	1.061	0.017
1.702	1.061	0.018
1.699	1.061	0.017
1.703	1.061	0.017
1.701	1.061	0.018
1.703	1.061	0.018
1.700	1.061	0.017
1.704	1.061	0.017
1.702	1.061	0.017
1.698	1.061	0.018
1.705	1.062	0.018
1.700	1.061	0.017
1.710	1.061	0.018
1.707	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.017
1.702	1.061	0.018
1.703	1.061	0.018
1.706	1.061	0.017
1.702	1.061	0.018
1.710	1.062	0.017
1.707	1.061	0.017
1.701	1.061	0.017
1.706	1.062	0.018
1.703	1.061	0.017
1.703	1.061	0.018
1.702	1.061	0.017
1.706	1.061	0.017
1.706	1.061	0.018
1.698	1.061	0.018
1.703	1.061	0.018
1.701	1.061	0.018
1.704	1.062	0.018
1.703	1.062	0.018
1.702	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.018
1.700	1.062	0.018
1.705	1.062	0.017
1.699	1.062	0.018
1.703	1.061	0.018
1.701	1.061	0.017
1.700	1.061	0.018
1.709	1.061	0.018
1.708	1.061	0.018
1.705	1.061	0.017
1.701	1.061	0.018
1.697	1.061	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.708	1.061	0.017
1.705	1.061	0.018
1.701	1.061	0.018
1.704	1.062	0.018
1.700	1.061	0.018
1.705	1.062	0.018
1.705	1.061	0.017
1.703	1.061	0.018
1.708	1.062	0.018
1.705	1.061	0.017
1.704	1.061	0.018
1.702	1.061	0.018
1.702	1.061	0.018
1.706	1.061	0.018
1.703	1.061	0.018
1.704	1.061	0.018
1.703	1.062	0.017
1.703	1.061	0.018
1.708	1.062	0.018
1.704	1.061	0.018
1.702	1.060	0.018
1.704	1.061	0.018
1.698	1.061	0.018
1.708	1.061	0.018
1.704	1.061	0.017
1.703	1.061	0.017
1.709	1.061	0.018
1.707	1.061	0.017
1.710	1.061	0.017
1.706	1.061	0.017
1.706	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.709	1.061	0.018
1.711	1.061	0.018
1.707	1.061	0.017
1.707	1.061	0.018
1.699	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.018
1.703	1.061	0.018
1.706	1.061	0.017
1.698	1.061	0.017
1.706	1.062	0.018
1.708	1.061	0.017
1.699	1.061	0.018
1.705	1.061	0.017
1.702	1.061	0.018
1.706	1.061	0.017
1.708	1.061	0.018
1.706	1.061	0.018
1.703	1.062	0.017
1.703	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.017
1.701	1.061	0.018
1.706	1.061	0.018
1.701	1.061	0.017
1.705	1.061	0.018
1.704	1.061	0.017
1.704	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.017
1.705	1.061	0.018
1.701	1.061	0.018
1.703	1.061	0.017
1.701	1.061	0.018
1.705	1.061	0.018
1.707	1.061	0.017
1.705	1.061	0.018
1.708	1.061	0.017
1.705	1.062	0.018
1.705	1.060	0.017
1.707	1.061	0.018
1.699	1.062	0.017
1.710	1.061	0.017
1.706	1.061	0.018
1.706	1.061	0.018
1.700	1.061	0.018
1.703	1.061	0.017
1.706	1.061	0.018
1.700	1.061	0.018
1.704	1.061	0.018
1.699	1.060	0.018
1.703	1.061	0.018
1.707	1.061	0.018
1.708	1.061	0.018
1.704	1.061	0.017
1.699	1.060	0.018
1.697	1.062	0.018
1.704	1.061	0.018
1.702	1.061	0.018
1.709	1.061	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.018
1.709	1.061	0.018
1.710	1.061	0.018
1.709	1.061	0.017
1.705	1.061	0.018
1.709	1.061	0.018
1.710	1.061	0.017
1.704	1.061	0.018
1.707	1.061	0.018
1.701	1.061	0.018
1.708	1.061	0.018
1.700	1.061	0.018
1.702	1.062	0.018
1.701	1.061	0.017
1.701	1.061	0.018
1.700	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.017
1.703	1.061	0.018
1.704	1.062	0.018
1.706	1.061	0.018
1.706	1.062	0.018
1.705	1.061	0.018
1.700	1.061	0.018
1.706	1.062	0.018
1.701	1.061	0.018
1.705	1.061	0.017
1.704	1.062	0.018
1.704	1.061	0.018
1.708	1.062	0.018
1.704	1.061	0.017
1.707	1.061	0.018
1.706	1.061	0.018
1.704	1.061	0.017
1.706	1.061	0.017
1.703	1.061	0.018
1.702	1.061	0.017
1.709	1.062	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.018
1.700	1.062	0.018
1.702	1.061	0.017
1.701	1.061	0.018
1.702	1.062	0.017
1.699	1.061	0.018
1.703	1.061	0.018
1.704	1.061	0.018
1.700	1.062	0.018
1.708	1.061	0.018
1.703	1.061	0.017
1.708	1.060	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.707	1.061	0.018
1.703	1.061	0.018
1.707	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.018
1.702	1.061	0.018
1.706	1.061	0.017
1.701	1.061	0.018
1.704	1.061	0.018
1.704	1.061	0.017
1.700	1.061	0.018
1.704	1.061	0.018
1.706	1.061	0.018
1.704	1.061	0.018
1.700	1.061	0.017
1.702	1.062	0.017
1.703	1.061	0.018
1.703	1.061	0.018
1.709	1.061	0.017
1.707	1.061	0.018
1.700	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.706	1.061	0.018
1.711	1.061	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.704	1.062	0.018
1.701	1.061	0.018
1.707	1.061	0.018
1.701	1.062	0.017
1.701	1.062	0.018
1.701	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.017
1.700	1.062	0.018
1.703	1.061	0.018
1.700	1.062	0.017
1.705	1.062	0.018
1.705	1.061	0.018
1.701	1.061	0.018
1.701	1.061	0.018
1.703	1.061	0.018
1.701	1.061	0.018
1.706	1.062	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.707	1.062	0.018
1.706	1.061	0.018
1.709	1.062	0.018
1.704	1.061	0.018
1.703	1.061	0.017
1.707	1.061	0.017
1.709	1.061	0.017
1.701	1.061	0.018
1.708	1.061	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.700	1.061	0.018
1.702	1.061	0.017
1.702	1.061	0.017
1.705	1.062	0.017
1.699	1.061	0.018
1.706	1.061	0.017
1.704	1.061	0.017
1.710	1.062	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.711	1.061	0.018
1.709	1.061	0.018
1.709	1.061	0.017
1.704	1.061	0.018
1.704	1.060	0.017
1.706	1.061	0.018
1.703	1.061	0.018
1.708	1.061	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.709	1.061	0.017
1.706	1.061	0.018
1.708	1.062	0.018
1.700	1.060	0.018
1.702	1.061	0.017
1.701	1.061	0.018
1.701	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.705	1.061	0.018
1.699	1.061	0.018
1.698	1.061	0.018
1.702	1.061	0.018
1.706	1.062	0.018
1.700	1.061	0.018
1.705	1.061	0.017
1.705	1.061	0.018
1.708	1.061	0.018
1.705	1.062	0.018
1.705	1.061	0.017
1.702	1.061	0.018
1.701	1.062	0.018
1.701	1.061	0.017
1.700	1.061	0.018
1.701	1.061	0.018
1.705	1.061	0.017
1.710	1.062	0.018
1.706	1.061	0.017
1.708	1.061	0.017
1.703	1.061	0.018
1.705	1.061	0.018
1.705	1.062	0.018
1.701	1.060	0.018
1.705	1.061	0.018
1.698	1.061	0.018
1.704	1.061	0.018
1.702	1.061	0.018
1.699	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.706	1.061	0.018
1.702	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.018
1.703	1.061	0.017
1.707	1.062	0.018
1.703	1.061	0.018
1.705	1.062	0.017
1.703	1.062	0.018
1.699	1.061	0.018
1.706	1.062	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.704	1.061	0.018
1.700	1.061	0.018
1.703	1.061	0.018
1.701	1.062	0.018
1.704	1.061	0.017
1.703	1.062	0.017
1.701	1.061	0.018
1.699	1.061	0.018
1.703	1.062	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.706	1.061	0.018
1.701	1.061	0.018
1.700	1.061	0.018
1.695	1.061	0.018
1.703	1.061	0.018
1.706	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.701	1.061	0.017
1.704	1.061	0.018
1.709	1.061	0.017
1.704	1.061	0.018
1.708	1.061	0.018
1.700	1.060	0.018
1.705	1.061	0.018
1.703	1.062	0.018
1.703	1.061	0.018
1.709	1.061	0.018
1.699	1.061	0.018
1.705	1.061	0.018
1.700	1.062	0.018
1.702	1.062	0.018
1.701	1.061	0.018
1.703	1.062	0.018
1.707	1.061	0.017
1.706	1.061	0.018
1.704	1.061	0.018
1.701	1.061	0.017
1.706	1.062	0.018
1.700	1.061	0.018
1.707	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.018
1.703	1.061	0.018
1.701	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.018
1.705	1.061	0.018
1.706	1.061	0.018
1.710	1.062	0.018
1.708	1.061	0.018
1.700	1.062	0.018
1.700	1.061	0.018
1.700	1.061	0.017
1.702	1.062	0.017
1.707	1.061	0.018
1.706	1.061	0.018
1.703	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.018
1.703	1.062	0.018
1.700	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.700	1.061	0.018
1.702	1.061	0.017
1.706	1.061	0.018
1.704	1.061	0.018
1.707	1.061	0.017
1.704	1.061	0.018
1.707	1.062	0.018
1.707	1.061	0.018
1.700	1.061	0.018
1.706	1.061	0.018
1.700	1.061	0.018
1.704	1.061	0.018
1.701	1.061	0.018
1.702	1.061	0.018
1.704	1.061	0.018
1.699	1.060	0.018
1.705	1.061	0.017
1.701	1.061	0.018
1.702	1.061	0.017
1.704	1.062	0.018
1.697	1.061	0.018
1.703	1.061	0.018
1.698	1.062	0.018
1.704	1.061	0.018
1.703	1.061	0.018
1.698	1.062	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.703	1.062	0.017
1.704	1.062	0.017
1.702	1.061	0.018
1.705	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.018
1.705	1.061	0.017
1.705	1.061	0.017
1.701	1.062	0.018
1.705	1.061	0.017
1.705	1.061	0.017
1.706	1.061	0.018
1.705	1.061	0.018
1.704	1.061	0.017
1.707	1.062	0.018
1.704	1.062	0.018
1.703	1.061	0.018
1.699	1.061	0.018
1.703	1.061	0.018
1.703	1.061	0.018
1.700	1.062	0.018
1.699	1.061	0.018
1.707	1.062	0.018
1.702	1.061	0.018
1.704	1.062	0.018
1.700	1.062	0.018
1.707	1.062	0.017
1.704	1.061	0.017
1.702	1.061	0.018
1.706	1.061	0.018
1.700	1.061	0.018
1.703	1.061	0.018
1.702	1.061	0.018
1.700	1.061	0.018
1.706	1.062	0.018
1.703	1.061	0.018
1.703	1.061	0.017
1.702	1.061	0.017
1.703	1.062	0.018
1.706	1.061	0.018
1.705	1.061	0.018
1.702	1.061	0.018
1.701	1.061	0.018
1.702	1.061	0.018
1.701	1.061	0.018
1.698	1.061	0.018
1.701	1.061	0.018
1.702	1.061	0.018
